"","URI","label_english"
"StateShape","number40LiterGreyWasteContainerShape","number40LiterGreyWasteContainerShape"
"StateShape","number120LiterGreyWasteContainerShape","number120LiterGreyWasteContainerShape"
"StateShape","number240LiterGreyWasteContainerShape","number240LiterGreyWasteContainerShape"
"StateShape","greyWasteContainerLockShape","greyWasteContainerLockShape"
"StateShape","number40LiterGreenWasteContainerShape","number40LiterGreenWasteContainerShape"
"StateShape","number120LiterGreenWasteContainerShape","number120LiterGreenWasteContainerShape"
"StateShape","greenWasteSelfCompostShape","greenWasteSelfCompostShape"
"StateShape","greenWasteContainerStopCollectingInfoShape","greenWasteContainerStopCollectingInfoShape"
"StateShape","greenWasteContainerLockShape","greenWasteContainerLockShape"
"StateShape","number40LiterPaperWasteContainerShape","number40LiterPaperWasteContainerShape"
"StateShape","number240LiterPaperWasteContainerShape","number240LiterPaperWasteContainerShape"
"StateShape","number1100LiterPaperWasteContainerShape","number1100LiterPaperWasteContainerShape"
"UIShape","number40LiterGreyWasteContainerUIShape","number40LiterGreyWasteContainerUIShape"
"UIShape","number120LiterGreyWasteContainerUIShape","number120LiterGreyWasteContainerUIShape"
"UIShape","number240LiterGreyWasteContainerUIShape","number240LiterGreyWasteContainerUIShape"
"UIShape","greyWasteContainerLockUIShape","greyWasteContainerLockUIShape"
"UIShape","number40LiterGreenWasteContainerUIShape","number40LiterGreenWasteContainerUIShape"
"UIShape","number120LiterGreenWasteContainerUIShape","number120LiterGreenWasteContainerUIShape"
"UIShape","greenWasteSelfCompostUIShape","greenWasteSelfCompostUIShape"
"UIShape","greenWasteContainerStopCollectingInfoUIShape","greenWasteContainerStopCollectingInfoUIShape"
"UIShape","greenWasteContainerLockUIShape","greenWasteContainerLockUIShape"
"UIShape","number40LiterPaperWasteContainerUIShape","number40LiterPaperWasteContainerUIShape"
"UIShape","number240LiterPaperWasteContainerUIShape","number240LiterPaperWasteContainerUIShape"
"UIShape","number1100LiterPaperWasteContainerUIShape","number1100LiterPaperWasteContainerUIShape"
