"Class","URI","label_english","label_dutch"
"State","numberOf40LiterGreyWasteContainers","numberOf40LiterGreyWasteContainers",""
"State","numberOf120LiterGreyWasteContainers","numberOf120LiterGreyWasteContainers",""
"State","numberOf240LiterGreyWasteContainers","numberOf240LiterGreyWasteContainers",""
"State","greyWasteContainerLockInfo","greyWasteContainerLockInfo",""
"State","numberOf40LiterGreenWasteContainers","numberOf40LiterGreenWasteContainers",""
"State","numberOf120LiterGreenWasteContainers","numberOf120LiterGreenWasteContainers",""
"State","greenWasteContainerOwnCompostInfo","greenWasteContainerOwnCompostInfo",""
"State","greenWasteContainerStopCollectingInfo","greenWasteContainerStopCollectingInfo",""
"State","greenWasteContainerLockInfo","greenWasteContainerLockInfo",""
"State","numberOf40LiterPaperWasteContainers","numberOf40LiterPaperWasteContainers",""
"State","numberOf240LiterPaperWasteContainers","numberOf240LiterPaperWasteContainers",""
"State","numberOf1100LiterPaperWasteContainers","numberOf1100LiterPaperWasteContainers",""
