"Transport during relocation Transport during relocation Transport during relocation Transport during relocation Transport during relocation Transport during relocation Transport during relocation","OCMW support OCMW support OCMW support OCMW support Allowance public domain Allowance public domain Allowance public domain","URI provideLivingWageInformation provideCapableOfPayingInformation provideFriendsHelpInformation provideWantToApplyForOCMWInformation provideNeededParkingSpotsPlan providePaymentOptions provideSignalingPlan","label_english provideLivingWageInformation provideCapableOfPayingInformation provideFriendsHelpInformation provideWantToApplyForOCMWInformation provideNeededParkingSpotsPlan providePaymentOptions provideSignalingPlan","description_english_1 ","description_dutch_1 ","constraint sh:datatype sh:datatype sh:datatype sh:datatype file sh:in file","values xsd:boolean xsd:boolean xsd:boolean xsd:boolean AmericanExpress, PayPal, MasterCard, Visa, Discover "
"Transport during relocation","access carfree zone","provideNumberOfParkingSpots","provideNumberOfParkingSpots","","","sh:minInclusive","1"
"Transport during relocation","access carfree zone","provideDisabilityCertificate","provideDisabilityCertificate","","","file",""
"Transport during relocation","access carfree zone","provideLicensePlateNumber","provideLicensePlateNumber","","","sh:datatype","xsd:string"
"Transport during relocation","temporary parking permit","provideCarRegistrationCertificate","provideCarRegistrationCertificate","","","file",""
"Transport during relocation","temporary parking permit","provideRelationToCar","provideRelationToCar","","","sh:in","Owner, Lease, Company owner"
"Mobility in new city","parking permit","-","-","-","-","-","-"
"Mobility in new city","access carfree zone","-","-","-","-","-","-"
"Mobility in new city","parking subsidy","providePhoneNumber","providePhoneNumber","","","sh:datatype","xsd:string"
"Mobility in new city","parking subsidy","provideMobilePhoneNumber","provideMobilePhoneNumber","","","sh:datatype","xsd:string"
"Mobility in new city","parking subsidy","provideEmailAddress","provideEmailAddress","","","sh:datatype","xsd:string"
"Mobility in new city","parking subsidy","provideNameOfParking","provideNameOfParking","","","sh:datatype","xsd:string"
"Mobility in new city","parking subsidy","provideTypeOfSubscription","provideTypeOfSubscription","","","sh:datatype","xsd:string"
"Mobility in new city","parking subsidy","provideZoneOfPreviousParkingPermit","provideZoneOfPreviousParkingPermit","","","sh:datatype","xsd:string"
"Mobility in new city","parking subsidy","provideLicensePlateOfPreviousParkingPermit","provideLicensePlateOfPreviousParkingPermit","","","sh:datatype","xsd:string"
"Mobility in new city","parking subsidy","provideSignature","provideSignature","","","file",""
"Mobility in new city","request disabled parking","providePermitForDisabledPeopleInformation","providePermitForDisabledPeopleInformation","","","sh:datatype","xsd:boolean"
"Mobility in new city","request disabled parking","provideGarageInformation","provideGarageInformation","","","sh:datatype","xsd:boolean"
"Mobility in new city","request disabled parking","provideGarageAddress","provideGarageAddress","","","sh:datatype","address"
"Mobility in new city","request disabled parking","provideProofOfDisabilityCertificate","provideProofOfDisabilityCertificate","","","file",""
"Mobility in new city","request disabled parking","provideVehicleRegistrationCertificate","provideVehicleRegistrationCertificate","","","file",""
"Mobility in new city","request disabled parking","provideDisabledPeopleParkingPermitCertificate","provideDisabledPeopleParkingPermitCertificate","","","file",""
"Mobility in new city","request disabled parking","provideFPSSocialCertificate","provideFPSSocialCertificate","","","file",""
"Exchange non-EU driver license","application","provideAppointmentDate","provideAppointmentDate","","","sh:datatype","xsd:date"
"Exchange non-EU driver license","application","provideNationalNumber","provideNationalNumber","","","sh:datatype","xsd:boolean"
"Exchange non-EU driver license","application","provideRegisteredInBelgiumInformation","provideRegisteredInBelgiumInformation","","","sh:datatype","xsd:boolean"
"Exchange non-EU driver license","application","provideRegisteredInWaitingRegisterInformation","provideRegisteredInWaitingRegisterInformation","","","sh:datatype","xsd:boolean"
"Relocation","make an appointment","provideOtherPeopleMovingTooInformation","","","","sh:datatype","xsd:boolean"
"Relocation","make an appointment","provideBirthDate","","","","sh:datatype","xsd:string"
"Relocation","make an appointment","provideBirthLocation","","","","sh:datatype","xsd:string"
"Relocation","make an appointment","provideProfession","","","","sh:datatype","xsd:string"
"Relocation","make an appointment","provideNationality","","","","",""
"Relocation","make an appointment","provideResidencePermit","","","","file",""
"Relocation","make an appointment","providePoliceControlAvailability","","","","sh:datatype","xsd:string"
"Relocation","wasteCollectionOldAddress","provideBankAccount","","","","sh:datatype","xsd:string"
"Relocation","wasteCollectionOldAddress","provideNeedToCollectWasteDisposalInformation","","","","sh:datatype","xsd:boolean"
"Relocation","wasteCollectionOldAddress","provideWasteDisposalCollectionDate","","","","sh:datatype","xsd:date"
"Relocation","wasteCollectionOldAddress","provideFirstName","","","","sh:datatype","xsd:string"
"Relocation","wasteCollectionOldAddress","provideLastName","","","","sh:datatype","xsd:string"
